iter	Passed	Remaining
604	1266	826
605	1267	824
606	1269	822
607	1271	819
608	1273	817
609	1274	815
610	1276	812
611	1278	810
612	1280	808
613	1283	806
614	1284	804
615	1286	802
616	1288	799
617	1290	797
618	1292	795
619	1293	792
620	1295	790
621	1297	788
622	1299	786
623	1301	784
624	1303	782
625	1305	780
626	1307	777
627	1309	775
628	1310	773
629	1312	770
630	1314	768
631	1316	766
632	1317	764
633	1319	761
634	1321	759
635	1323	757
636	1324	754
637	1326	752
638	1328	750
639	1330	748
640	1331	745
641	1333	743
642	1335	741
643	1337	739
644	1339	737
645	1341	735
646	1343	733
647	1345	731
648	1347	729
649	1349	726
650	1352	724
651	1353	722
652	1355	720
653	1357	718
654	1358	715
655	1360	713
656	1362	711
657	1364	709
658	1365	706
659	1367	704
660	1369	702
661	1371	700
662	1372	697
663	1374	695
664	1376	693
665	1378	691
666	1380	689
667	1382	686
668	1383	684
669	1385	682
670	1387	680
671	1389	678
672	1391	675
673	1393	673
674	1394	671
675	1396	669
676	1399	667
677	1401	665
678	1403	663
679	1404	661
680	1406	658
681	1408	656
682	1410	654
683	1411	652
684	1413	649
685	1415	647
686	1417	645
687	1418	643
688	1420	641
689	1422	639
690	1424	637
691	1426	634
692	1428	632
693	1430	630
694	1431	628
695	1433	626
696	1435	624
697	1437	621
698	1439	619
699	1440	617
700	1442	615
701	1444	613
702	1446	611
703	1448	608
704	1449	606
705	1451	604
706	1453	602
707	1454	600
708	1456	597
709	1458	595
710	1459	593
711	1461	591
712	1463	588
713	1464	586
714	1466	584
715	1468	582
716	1469	580
717	1471	578
718	1473	575
719	1475	573
720	1477	571
721	1479	569
722	1481	567
723	1483	565
724	1484	563
725	1486	561
726	1488	558
727	1490	556
728	1491	554
729	1493	552
730	1496	550
731	1497	548
732	1499	546
733	1501	544
734	1502	541
735	1504	539
736	1506	537
737	1508	535
738	1509	533
739	1511	531
740	1513	528
741	1514	526
742	1516	524
743	1518	522
744	1520	520
745	1522	518
746	1523	516
747	1525	514
748	1527	511
749	1529	509
750	1531	507
751	1533	505
752	1535	503
753	1537	501
754	1539	499
755	1541	497
756	1543	495
757	1545	493
758	1547	491
759	1548	489
760	1550	486
761	1551	484
762	1553	482
763	1555	480
764	1557	478
765	1558	476
766	1560	474
767	1562	471
768	1563	469
769	1565	467
770	1567	465
771	1569	463
772	1570	461
773	1572	459
774	1574	457
775	1575	454
776	1577	452
777	1579	450
778	1581	448
779	1582	446
780	1584	444
781	1586	442
782	1588	440
783	1590	438
784	1592	436
785	1594	434
786	1596	432
787	1597	429
788	1599	427
789	1601	425
790	1602	423
791	1604	421
792	1606	419
793	1608	417
794	1609	415
795	1611	413
796	1613	411
797	1615	408
798	1617	406
799	1619	404
800	1620	402
801	1622	400
802	1624	398
803	1626	396
804	1628	394
805	1629	392
806	1631	390
807	1633	388
808	1637	386
809	1639	384
810	1641	382
811	1643	380
812	1644	378
813	1646	376
814	1648	374
815	1650	372
816	1651	369
817	1653	367
818	1655	365
819	1656	363
820	1658	361
821	1660	359
822	1662	357
823	1663	355
824	1665	353
825	1667	351
826	1669	349
827	1671	347
828	1673	345
829	1675	343
830	1677	341
831	1679	339
832	1680	336
833	1682	334
834	1684	332
835	1686	330
836	1688	328
837	1689	326
838	1691	324
839	1693	322
840	1694	320
841	1696	318
842	1698	316
843	1700	314
844	1701	312
845	1703	310
846	1705	308
847	1707	305
848	1708	303
849	1710	301
850	1712	299
851	1714	297
852	1715	295
853	1717	293
854	1719	291
855	1721	289
856	1722	287
857	1724	285
858	1726	283
859	1728	281
860	1730	279
861	1732	277
862	1734	275
863	1736	273
864	1738	271
865	1740	269
866	1741	267
867	1743	265
868	1745	263
869	1747	261
870	1748	258
871	1750	256
872	1752	254
873	1753	252
874	1755	250
875	1757	248
876	1759	246
877	1760	244
878	1762	242
879	1764	240
880	1766	238
881	1767	236
882	1769	234
883	1771	232
884	1772	230
885	1774	228
886	1776	226
887	1778	224
888	1779	222
889	1781	220
890	1783	218
891	1785	216
892	1787	214
893	1788	212
894	1790	210
895	1792	208
896	1793	205
897	1795	203
898	1797	201
899	1798	199
900	1800	197
901	1802	195
902	1804	193
903	1806	191
904	1808	189
905	1809	187
906	1811	185
907	1813	183
908	1815	181
909	1817	179
910	1819	177
911	1820	175
912	1822	173
913	1824	171
914	1826	169
915	1827	167
916	1829	165
917	1831	163
918	1833	161
919	1835	159
920	1836	157
921	1838	155
922	1840	153
923	1841	151
924	1843	149
925	1845	147
926	1846	145
927	1848	143
928	1850	141
929	1852	139
930	1854	137
931	1855	135
932	1857	133
933	1859	131
934	1861	129
935	1863	127
936	1865	125
937	1867	123
938	1868	121
939	1870	119
940	1872	117
941	1874	115
942	1876	113
943	1878	111
944	1881	109
945	1882	107
946	1884	105
947	1885	103
948	1887	101
949	1889	99
950	1891	97
951	1892	95
952	1894	93
953	1896	91
954	1898	89
955	1900	87
956	1902	85
957	1904	83
958	1906	81
959	1907	79
960	1909	77
961	1911	75
962	1913	73
963	1915	71
964	1917	69
965	1919	67
966	1921	65
967	1923	63
968	1924	61
969	1926	59
970	1928	57
971	1930	55
972	1932	53
973	1933	51
974	1935	49
975	1937	47
976	1939	45
977	1941	43
978	1942	41
979	1944	39
980	1946	37
981	1948	35
982	1950	33
983	1952	31
984	1954	29
985	1956	27
986	1958	25
987	1960	23
988	1962	21
989	1964	19
990	1966	17
991	1968	15
992	1970	13
993	1972	11
994	1974	9
995	1976	7
996	1978	5
997	1980	3
998	1982	1
999	1983	0
