iter	Logloss
0	0.6776878161
1	0.6635772618
2	0.6500018084
3	0.638677396
4	0.6276475521
5	0.616879542
6	0.6061450056
7	0.5969326965
8	0.5870067455
9	0.5772956348
10	0.5689699005
11	0.5609709911
12	0.5533081229
13	0.5465710414
14	0.5408682973
15	0.5342555467
16	0.5279357562
17	0.5219284884
18	0.5162378295
19	0.5112556392
20	0.5060166144
21	0.5017571517
22	0.4979712331
23	0.4941213668
24	0.4900019719
25	0.4858719263
26	0.4822460729
27	0.4789423494
28	0.4762065485
29	0.4728671778
30	0.4700606474
31	0.4672116445
32	0.4645820466
33	0.461941537
34	0.4593226332
35	0.4570565944
36	0.4550027874
37	0.4528640791
38	0.4506788118
39	0.4488969243
40	0.4471408594
41	0.445362841
42	0.443962771
43	0.4424560199
44	0.4408338063
45	0.4394309541
46	0.4379131611
47	0.4364397967
48	0.4350275545
49	0.4338092858
50	0.4326172744
51	0.4311388239
52	0.4299882416
53	0.4288088807
54	0.4277568067
55	0.4267606817
56	0.4257060429
57	0.4250810846
58	0.4241448644
59	0.4230710543
60	0.4222667727
61	0.4216154702
62	0.4208867
63	0.420142584
64	0.4193599516
65	0.418693086
66	0.4181872419
67	0.417377222
68	0.4165489436
69	0.4159051183
70	0.415344673
71	0.4147050646
72	0.4140369383
73	0.4133255135
74	0.4127166835
75	0.4121609767
76	0.411494937
77	0.410893193
78	0.4101979834
79	0.4097829965
80	0.4092525471
81	0.4086992747
82	0.4081536535
83	0.4075553872
84	0.4070143306
85	0.4065837806
86	0.4062505651
87	0.4057608493
88	0.4053366463
89	0.4049004449
90	0.4044969782
91	0.4040468656
92	0.4037197363
93	0.4032846652
94	0.4028031656
95	0.4022739334
96	0.4017476574
97	0.4013806639
98	0.4009945427
99	0.4006054218
100	0.40016283
101	0.3997807082
102	0.3994640992
103	0.3991534024
104	0.398751718
105	0.398462627
106	0.3981125008
107	0.3978235837
108	0.3974733271
109	0.3970942918
110	0.3968176339
111	0.3964902872
112	0.3961471166
113	0.3957965557
114	0.3955732384
115	0.3952265465
116	0.3949903178
117	0.3946345403
118	0.3943474055
119	0.3941084381
120	0.3938079573
121	0.3937430531
122	0.3934644389
123	0.3931682619
124	0.3929349459
125	0.3927225401
126	0.3924538811
127	0.3922645156
128	0.3920036381
129	0.3917331967
130	0.3914644508
131	0.391075895
132	0.3907042501
133	0.3904654131
134	0.390301305
135	0.3900219518
136	0.3897725075
137	0.3894104265
138	0.3891801535
139	0.3888706305
140	0.3885921467
141	0.3883470063
142	0.3881612055
143	0.388005705
144	0.3877548261
145	0.387550028
146	0.3874806896
147	0.3872347666
148	0.3870712237
149	0.3868880313
150	0.3867198803
151	0.3865255589
152	0.3862645076
153	0.3860499716
154	0.3858991661
155	0.38572419
156	0.385501003
157	0.3853085075
158	0.3850624106
159	0.3847896217
160	0.3845089643
161	0.3843594195
162	0.3842166564
163	0.3840398979
164	0.3837592405
165	0.3835363578
166	0.3832903479
167	0.3831211101
168	0.3828497993
169	0.3827332934
170	0.3825681855
171	0.3823403035
172	0.3821255502
173	0.3819611378
174	0.3817785975
175	0.381579016
176	0.3812805784
177	0.381071433
178	0.3808831109
179	0.3807267844
180	0.3805164218
181	0.3803683985
182	0.3801300831
183	0.3799888415
184	0.3798279504
185	0.3796905778
186	0.3795891569
187	0.3794291352
188	0.3792445952
189	0.3791642148
190	0.3788791233
191	0.3786603705
192	0.3783747573
193	0.3782275165
194	0.3780543662
195	0.3779284268
196	0.3776972409
197	0.3776109484
198	0.3774933122
199	0.377393804
200	0.3772368254
201	0.3770488511
202	0.3768470525
203	0.3767604556
204	0.3765863054
205	0.3763956358
206	0.3763009096
207	0.3761929678
208	0.3760434229
209	0.3758990948
210	0.3758079768
211	0.3755033227
212	0.3753179132
213	0.3751354598
214	0.3749667871
215	0.3748841028
216	0.3747436436
217	0.3746767397
218	0.374520761
219	0.3743187016
220	0.3742168024
221	0.3740992532
222	0.3739132786
223	0.3737559088
224	0.3737542568
225	0.3735411554
226	0.3733299668
227	0.3732185038
228	0.3731327763
229	0.3730054893
230	0.3727928662
231	0.3726584062
232	0.3725266851
233	0.3723899211
234	0.3723106276
235	0.3722049898
236	0.3720782245
237	0.3719757602
238	0.3718411264
239	0.3717425746
240	0.3716166352
241	0.3715263867
242	0.3713410206
243	0.3712606838
244	0.3711906064
245	0.3710028059
246	0.3708773447
247	0.3707850095
248	0.3707310603
249	0.3706301176
250	0.3704963532
251	0.3704126255
252	0.3703036403
253	0.3701614423
254	0.3700527615
255	0.36991678
256	0.3699056946
257	0.369810012
258	0.3696862897
259	0.3694559733
260	0.36926
261	0.3692324386
262	0.3690367261
263	0.3689315665
264	0.3687859777
265	0.3686208263
266	0.3684298523
267	0.3684017692
268	0.3682387914
269	0.3680937243
270	0.3679384846
271	0.3678051984
272	0.3676634351
273	0.3675370176
274	0.3673862555
275	0.3672132791
276	0.3670443021
277	0.366914146
278	0.3666531381
279	0.3665865385
280	0.3664972463
281	0.3663826967
282	0.366307533
283	0.3661924183
284	0.3660757385
285	0.3659425393
286	0.3658133395
287	0.3657204826
288	0.3655845881
289	0.3654782983
290	0.365289324
291	0.3651309108
292	0.3649971899
293	0.3649296774
294	0.3648609477
295	0.3646902753
296	0.3645383395
297	0.3643900988
298	0.3642622249
299	0.3640458197
300	0.3639096861
301	0.3637065181
302	0.3635627334
303	0.3634621601
304	0.3633769543
305	0.3633766066
306	0.3632001958
307	0.3631139033
308	0.3629347103
309	0.3628214866
310	0.3627677983
311	0.3626186882
312	0.3625005086
313	0.3623538547
314	0.3622799735
315	0.3622071356
316	0.3620809137
317	0.3619059158
318	0.3618350124
319	0.3616524286
320	0.3615316842
321	0.3613897036
322	0.3612089673
323	0.3610949829
324	0.3609321355
325	0.360837105
326	0.3606759096
327	0.3605608818
328	0.3604783713
329	0.3603551055
330	0.3602125162
331	0.3600820123
332	0.3599336195
333	0.359806289
334	0.359599665
335	0.3594302099
336	0.3593352228
337	0.359190047
338	0.3589937042
339	0.3588855233
340	0.3587612359
341	0.3586693571
342	0.3586114954
343	0.3585019886
344	0.3584140658
345	0.3583321422
346	0.3581807281
347	0.3580535715
348	0.3579154599
349	0.3577835648
350	0.3576480833
351	0.3575817228
352	0.3574938217
353	0.3573745988
354	0.3572184897
355	0.3570840515
356	0.356924508
357	0.3568108496
358	0.3566724989
359	0.356585163
360	0.3564558545
361	0.356302332
